Date,High,Low,Open,Close,Volume,Adj Close
20100629,5.0,3.507999897003174,3.799999952316284,4.7779998779296875,93831500,4.7779998779296875
20100630,6.084000110626221,4.659999847412109,5.1579999923706055,4.765999794006348,85935500,4.765999794006348
20100701,5.184000015258789,4.053999900817871,5.0,4.392000198364258,41094000,4.392000198364258
20100702,4.619999885559082,3.742000102996826,4.599999904632568,3.8399999141693115,25699000,3.8399999141693115
20100706,4.0,3.1659998893737793,4.0,3.2219998836517334,34334500,3.2219998836517334
20100707,3.3259999752044678,2.996000051498413,3.2799999713897705,3.1600000858306885,34608500,3.1600000858306885
20100708,3.503999948501587,3.114000082015991,3.2279999256134033,3.492000102996826,38557000,3.492000102996826
20100709,3.5799999237060547,3.309999942779541,3.5160000324249268,3.4800000190734863,20253000,3.4800000190734863
20100712,3.614000082015991,3.4000000953674316,3.5899999141693115,3.4100000858306885,11012500,3.4100000858306885
20100713,3.7279999256134033,3.380000114440918,3.4779999256134033,3.628000020980835,13400500,3.628000020980835
20100714,4.03000020980835,3.552000045776367,3.5880000591278076,3.9679999351501465,20976000,3.9679999351501465
20100715,4.300000190734863,3.799999952316284,3.98799991607666,3.9779999256134033,18699000,3.9779999256134033
20100716,4.260000228881836,4.010000228881836,4.139999866485596,4.127999782562256,13106500,4.127999782562256
20100719,4.449999809265137,4.184000015258789,4.27400016784668,4.381999969482422,12432500,4.381999969482422
20100720,4.369999885559082,4.010000228881836,4.369999885559082,4.059999942779541,9126500,4.059999942779541
20100721,4.179999828338623,3.9000000953674316,4.131999969482422,4.044000148773193,6262500,4.044000148773193
20100722,4.25,4.073999881744385,4.099999904632568,4.199999809265137,4789000,4.199999809265137
20100723,4.311999797821045,4.211999893188477,4.23799991607666,4.257999897003174,3268000,4.257999897003174
20100726,4.300000190734863,4.059999942779541,4.300000190734863,4.190000057220459,4611000,4.190000057220459
20100727,4.236000061035156,4.052000045776367,4.182000160217285,4.110000133514404,3098500,4.110000133514404
20100728,4.179999828338623,4.1020002365112305,4.110000133514404,4.144000053405762,2336000,4.144000053405762
20100729,4.176000118255615,4.0,4.1539998054504395,4.070000171661377,3080000,4.070000171661377
20100730,4.0879998207092285,3.9100000858306885,4.039999961853027,3.98799991607666,2134500,3.98799991607666
20100802,4.193999767303467,4.065999984741211,4.099999904632568,4.184000015258789,3590500,4.184000015258789
20100803,4.389999866485596,4.164000034332275,4.199999809265137,4.389999866485596,6152500,4.389999866485596
20100804,4.435999870300293,4.170000076293945,4.389999866485596,4.251999855041504,4565000,4.251999855041504
20100805,4.309999942779541,4.010000228881836,4.308000087738037,4.090000152587891,3981000,4.090000152587891
20100806,4.0320000648498535,3.9040000438690186,4.019999980926514,3.9179999828338623,3709500,3.9179999828338623
20100809,3.996000051498413,3.890000104904175,3.9800000190734863,3.9200000762939453,4063500,3.9200000762939453
20100810,3.930000066757202,3.7639999389648438,3.930000066757202,3.805999994277954,6406500,3.805999994277954
20100811,3.7760000228881836,3.569999933242798,3.73799991607666,3.5799999237060547,3988000,3.5799999237060547
20100812,3.5799999237060547,3.4779999256134033,3.559999942779541,3.5199999809265137,3455000,3.5199999809265137
20100813,3.690000057220459,3.5320000648498535,3.635999917984009,3.6640000343322754,3170000,3.6640000343322754
20100816,3.759999990463257,3.6519999504089355,3.690000057220459,3.75600004196167,2429000,3.75600004196167
20100817,3.880000114440918,3.75600004196167,3.7920000553131104,3.8299999237060547,2239500,3.8299999237060547
20100818,3.9179999828338623,3.7200000286102295,3.9179999828338623,3.753999948501587,3006500,3.753999948501587
20100819,3.8499999046325684,3.6659998893737793,3.7079999446868896,3.757999897003174,2895500,3.757999897003174
20100820,3.822000026702881,3.7019999027252197,3.7300000190734863,3.819999933242798,1480000,3.819999933242798
20100823,4.078000068664551,3.799999952316284,3.818000078201294,4.026000022888184,5440500,4.026000022888184
20100824,3.941999912261963,3.7899999618530273,3.8499999046325684,3.8399999141693115,3365500,3.8399999141693115
20100825,3.996000051498413,3.7119998931884766,3.8320000171661377,3.9800000190734863,2516500,3.9800000190734863
20100826,4.053999900817871,3.9200000762939453,3.9779999256134033,3.950000047683716,2169000,3.950000047683716
20100827,3.9739999771118164,3.9000000953674316,3.950000047683716,3.940000057220459,1898000,3.940000057220459
20100830,4.038000106811523,3.921999931335449,3.940000057220459,3.9739999771118164,3664000,3.9739999771118164
20100831,3.9579999446868896,3.865999937057495,3.931999921798706,3.8959999084472656,1005500,3.8959999084472656
20100901,4.138000011444092,3.9200000762939453,3.9240000247955322,4.090000152587891,2474500,4.090000152587891
20100902,4.248000144958496,4.061999797821045,4.073999881744385,4.211999893188477,2435500,4.211999893188477
20100903,4.260000228881836,4.131999969482422,4.173999786376953,4.210000038146973,2173000,4.210000038146973
20100907,4.199999809265137,4.099999904632568,4.122000217437744,4.107999801635742,1217000,4.107999801635742
20100908,4.190000057220459,4.119999885559082,4.131999969482422,4.179999828338623,1442000,4.179999828338623
